lat,lon,depth,chlor_a,current_speed,salinity,sst
-90.0,-53.0,-4.726787919444444,,,,-7.768000000000029
-90.0,-52.0,-5.197554364611111,,,,-7.768000000000029
-90.0,-51.0,-10.196494668561112,,,,-7.768000000000029
-90.0,-50.0,-21.307813818178836,,,,-7.768000000000029
-90.0,-49.0,-30.650573179383336,,,,-7.768000000000029
-90.0,-48.0,-36.51721733192222,,,,-7.768000000000029
-90.0,-47.0,-43.25708341838889,,,,-7.768000000000029
-90.0,-46.0,-49.62998735016667,,,,-7.768000000000029
-90.0,-45.0,-54.25848110677778,,,,-7.768000000000029
-90.0,-44.0,-56.48983690394444,,,,-7.768000000000029
-90.0,-43.0,-52.065298872944446,,,,-7.768000000000029
-90.0,-42.0,-41.97907005077778,,,,-7.768000000000029
-90.0,-41.0,-35.48447507438889,,,,-7.768000000000029
-90.0,-40.0,-38.02689619775,,,,-7.768000000000029
-90.0,-39.0,-47.39055305042223,,,,-7.768000000000029
-90.0,-38.0,-56.06511767551427,,,,-7.768000000000029
-90.0,-37.0,-55.87222545732778,,,,-7.768000000000029
-90.0,-36.0,-43.22976473611278,,,,-7.768000000000029
-90.0,-35.0,-22.43421538938889,,,,-7.768000000000029
-90.0,-34.0,-5.434749970855556,,,,-7.768000000000029
-90.0,-33.0,-0.2274900272777777,,,,-7.768000000000029
-90.0,-32.0,-4.814441971861111,,,,-7.768000000000029
-90.0,-31.0,-13.711494830794445,,,,-7.768000000000029
-90.0,-30.0,-21.046451076777775,,,,-7.768000000000029
-90.0,-29.0,-22.487298149683333,,,,-7.768000000000029
-90.0,-28.0,-19.636814486022224,,,,-7.768000000000029
-90.0,-27.0,-17.096392479555554,,,,-7.768000000000029
-90.0,-26.0,-16.57574146243333,,,,-7.768000000000029
-90.0,-25.0,-17.076033993632223,,,,-7.768000000000029
-90.0,-24.0,-18.571558429216665,,,,-7.768000000000029
-90.0,-23.0,-21.527496745466664,,,,-7.768000000000029
-90.0,-22.0,-24.993282696060664,,,,-7.768000000000029
-90.0,-21.0,-29.390532763693333,,,,-7.768000000000029
-90.0,-20.0,-36.61357246048333,,,,-7.768000000000029
-90.0,-19.0,-46.41955307836667,,,,-7.768000000000029
-90.0,-18.0,-56.49901876251334,,,,-7.768000000000029
-90.0,-17.0,-64.82860144022223,,,,-7.768000000000029
-90.0,-16.0,-70.81792265455556,,,,-7.768000000000029
-90.0,-15.0,-74.61544273127778,,,,-7.768000000000029
-90.0,-14.0,-77.24255427274667,,,,-7.768000000000029
-90.0,-13.0,-80.54516970066668,,,,-7.768000000000029
-90.0,-12.0,-84.51879046027778,,,,-7.768000000000029
-90.0,-11.0,-87.69683005372222,,,,-7.768000000000029
-90.0,-10.0,-91.68706557611112,,,,-7.768000000000029
-90.0,-9.0,-99.35121635211112,,,,-7.768000000000029
-90.0,-8.0,-107.64306636420557,,,,-7.768000000000029
-90.0,-7.0,-110.82957824704836,,,,-7.768000000000029
